Date,Description,Amount
2026-01-01,Opening Balance,0.00
2026-01-02,Woolworths Food,-850.00
2026-01-03,Uber Trip,-45.00
2026-01-04,Netflix,-199.00
2026-01-05,Salary Deposit,25000.00
2026-01-06,KFC,-320.00
2026-01-07,Electricity Bill,-1200.00
2026-01-08,Uber Trip,-55.00
2026-01-09,Gym Membership,-650.00
2026-01-10,Checkers,-620.00
2026-01-11,Uber Eats,-380.00
2026-01-12,Airtime Recharge,-100.00
2026-01-13,Netflix,-199.00
2026-01-14,Rent Payment,-8500.00
2026-01-15,Woolworths Food,-430.00
2026-01-16,Uber Trip,-75.00
2026-01-17,Medical Aid,-1500.00
2026-01-18,KFC,-210.00
2026-01-19,Data Bundle,-299.00
2026-01-20,Checkers,-540.00
2026-01-21,Uber Eats,-450.00
2026-01-22,Petrol,-800.00
2026-01-23,School Fees,-3500.00
2026-01-24,Woolworths Food,-390.00
2026-01-25,ATM Withdrawal,-500.00
2026-01-26,Uber Trip,-60.00
2026-01-27,Electricity Bill,-600.00
2026-01-28,KFC,-180.00
2026-01-29,Airtime Recharge,-100.00
2026-01-30,Uber Eats,-290.00
